data,normed data
8.95,0.711234789
8.77,0.744021104
7.97,0.874548656
5.58,0.973273601
4.82,0.894827251
3.62,0.697825767
3.48,0.671630665
3.92,0.752535544
3.86,0.741787286
3.85,0.739985353
3.44,0.664092788
4.59,0.862617597
4.52,0.85216387
4.69,0.877038846
4.64,0.869905563
1.64,0.339409846
0.92,0.237283696
3.98,0.763168547
3.77,0.725468968
1.28,0.285608751
1.26,0.282777407
1.29,0.287030791
1.4,0.30295112
1.12,0.263437379
0.89,0.233511735
0.73,0.214063216
0.45,0.18273094
3.78,0.72729293
4.42,0.83674765
5.17,0.936740848
6.23,0.99958987
6.56,0.997192304
6.89,0.984173962
7.57,0.925985717
7.53,0.930485094
7.51,0.932687785
8.49,0.792999266
8.61,0.772356601
9.41,0.624727324
9.6,0.588548355
9.59,0.590451587
9.55,0.598067276
9.35,0.636137306
8.73,0.751183772
8.58,0.777569851
9.01,0.700132974
6.98,0.978826973
7.49,0.934858812
7.47,0.93699793
4.17,0.795974541
3.79,0.729114287
4.1,0.784051875
5.05,0.923409665
4.99,0.916327279
4.38,0.830430197
3.54,0.68289614
1.24,0.279963087
1.23,0.278562327
0.17,0.154783375
0.21,0.1585726
1.2,0.274385722
0.71,0.211711339
0.18,0.15572441
0.62,0.201345277
0.33,0.170344646
0.57,0.195739713
1.11,0.262088286
0.36,0.173383278
2.47,0.481261683
3.23,0.624266873
7.77,0.901676435
7.73,0.906772806
8.78,0.742222835
8.74,0.749397752
5.06,0.92456346
3.87,0.743586275
7.46,0.938055447
6.84,0.98681645
7.64,0.917815553
9.46,0.615208627
10.21,0.474408367
10.44,0.433223473
10.84,0.365362143
11.18,0.312209018
10.83,0.36699215
11.26,0.300372711
9.8,0.550604626
8.59,0.775835854
8.51,0.789598766
7.16,0.965902498
6.66,0.994356341
5.4,0.959018331
5.63,0.97671686
4.78,0.889473683
3.42,0.660316561
2.67,0.518219414
8,0.870254352
7.41,0.943221424
5.28,0.947946782
5.95,0.993228395
5.64,0.977378055
5.89,0.99087327
2.92,0.565288328
2.46,0.479434955
2.31,0.452315931
2.35,0.459493662
3.93,0.754315964
6.19,0.999151454
8.24,0.833981371
7.14,0.967482728
5.42,0.960743466
5.26,0.945983373
5.71,0.981747846
4.35,0.825637929
2.64,0.512628839
3.34,0.64517061
4.34,0.824030407
6.17,0.998873212
5.33,0.952708715
4.97,0.913906471
3.43,0.662205248
3.04,0.588087907
1.5,0.317859832
1.53,0.322411896
5.74,0.983481094
